CASE_NUMBER,CSAT_SCORE,CALLS,CHATS,EMAILS,AGENT_COMPANY,AGENT_TEAM,REASON_CODE,REASON,PART_ORDERS,SERVICE_ORDERS,ATTEMPTS_TO_RESOLVE,CHANNEL,PRODUCT_COMPANY,MODEL
23317953,5,1,0,0,I,11e9f553-0a31-47ab-80f3-005056a14056,-2788935051357887738,2267727583871591927,0,0,1,Phone,-5433978023225876675,-7458224457533427235
23313189,1,,0,0,I,11e9f553-0a31-47a7-80f3-005056a14056,-4131266100954257875,-1937821200793216602,1,1,,Phone,-8694058840750967938,-7216389518300947699
23318991,1,,0,0,I,11e9f553-0a31-47a7-80f3-005056a14056,-3376263856159163434,6990482230739798774,1,1,3+,Phone,-8694058840750967938,-7216389518300947699
23279632,2,,0,0,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,4844790688836884364,6990482230739798774,0,0,3+,Phone,-8694058840750967938,-7216389518300947699
23316096,1,5,1,2,E,bb2741fd-bac0-4579-9858-5a1a99da1d5d,-2788935051357887738,2267727583871591927,0,0,2,Phone,-5433978023225876675,4912507690956445946
23502907,5,131,0,0,I,11e9f553-0a31-4793-80f3-005056a14056,-110139703306373720,-1937821200793216602,18,0,1,Phone,-3245924413532258006,-262110978746622055
23457707,5,127,0,0,I,11e9f553-0a31-4793-80f3-005056a14056,-110139703306373720,-1937821200793216602,15,0,1,Phone,-3245924413532258006,-262110978746622055
23478006,5,129,0,0,I,11e9f553-0a31-4793-80f3-005056a14056,503626190182219631,2678545846011465621,17,0,1,Phone,-3245924413532258006,-262110978746622055
23452385,1,2,0,0,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,4844790688836884364,6990482230739798774,2,1,3+,Phone,-8694058840750967938,-5682265921414947526
23333395,5,9,0,0,E,d67f9ebf-b9b7-49c4-9789-2e6eee885966,-1641139134593359272,2678545846011465621,0,0,2,Phone,228655033422864514,-7196398508039338548
23427665,5,9,0,0,E,11eb1876-9210-7a7f-80fc-005056a1411d,-2788935051357887738,2267727583871591927,0,0,2,Phone,-5433978023225876675,4912507690956445946
23153436,4,,5,0,E,bb2741fd-bac0-4579-9858-5a1a99da1d5d,-2788935051357887738,2267727583871591927,0,0,,Chat,-8694058840750967938,-9108823408196446823
23535614,1,1,0,0,I,11e9f553-0a31-4796-80f3-005056a14056,-3814091560437267992,6990482230739798774,1,0,1,Phone,228655033422864514,6225424350154202261
23469994,5,,0,0,I,11e9f553-0a31-4796-80f3-005056a14056,-2705609046730966057,6990482230739798774,0,0,1,Phone,228655033422864514,3530453567440275810
